City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
182,nova sintra,14.8667,-24.7167,19.92,80,34,9.7,CV,1684857593
183,ascoli piceno,42.8548,13.5749,24.45,58,19,1.67,IT,1684857593
184,tidjikja,18.5564,-11.4271,36.98,15,71,5.92,MR,1684857593
185,mount isa,-20.7333,139.5,14.87,29,0,3.6,AU,1684857593
186,fortuna foothills,32.6578,-114.4119,31.23,20,0,7.72,US,1684857594
187,puerto santa,-8.9906,-78.6456,23.22,81,93,3.75,PE,1684857594
188,maragogi,-9.0122,-35.2225,27.47,80,8,6.28,BR,1684857594
189,sittwe,20.15,92.9,28.74,81,0,4.31,MM,1684857594
190,juan griego,11.0817,-63.9655,28.74,68,97,4.5,VE,1684857595
191,huangshan,29.7114,118.3125,16.61,72,81,1.07,CN,1684857595
192,cockburn town,21.4612,-71.1419,27.26,73,0,3.15,TC,1684857595
193,turkan,40.3639,50.215,22.1,68,0,6.17,AZ,1684857595
194,khor,47.8861,134.9464,11.65,84,53,2.83,RU,1684857596
195,ilulissat,69.2167,-51.1,-2.94,89,100,9.41,GL,1684857596
196,guigue,10.0853,-67.7792,26.9,69,20,2.18,VE,1684857596
197,kodiak,57.79,-152.4072,6.73,93,100,6.69,US,1684857596
198,khalkhal,37.6189,48.5258,17.27,44,37,1.71,IR,1684857597
199,kununurra,-15.7667,128.7333,17.99,55,0,3.09,AU,1684857597
200,susuman,62.7833,148.1667,2.14,99,100,1.01,RU,1684857597
201,bikenibeu village,1.3673,173.1241,24.98,94,75,1.54,KI,1684857597
202,mesolongi,38.3702,21.4295,23.05,72,42,1.36,GR,1684857598
203,gamba,-2.65,10.0,26.33,82,59,3.55,GA,1684857598
204,ceerigaabo,10.6162,47.368,21.02,64,93,1.77,SO,1684857598
205,fada,9.5667,8.3,30.97,53,99,3.15,NG,1684857599
206,sitka,57.0531,-135.33,8.35,70,100,1.19,US,1684857599
207,margate,51.3813,1.3862,14.27,62,100,6.09,GB,1684857599
208,polyarnyye zori,67.3661,32.4981,15.04,59,88,2.89,RU,1684857599
209,nagqu,31.5,92.0,3.94,35,78,2.56,CN,1684857601
210,tataouine,32.9297,10.4518,26.29,39,69,9.6,TN,1684857609
211,santa ana,33.7456,-117.8678,18.31,92,100,2.57,US,1684857618
212,severo-yeniseyskiy,60.3725,93.0408,1.72,76,81,6.47,RU,1684857625
213,baoqing,46.3317,132.2111,16.13,54,100,3.79,CN,1684857634
214,russkaya polyana,49.417,31.9201,18.87,71,100,1.86,UA,1684857641
215,mulchen,-37.7167,-72.2333,12.92,62,48,3.53,CL,1684857644
216,constantia,44.1833,28.65,20.39,70,24,2.78,RO,1684857646
217,ugoofaaru,5.6667,73.0,28.87,72,71,2.15,MV,1684857647
218,trujillo,-8.116,-79.03,25.98,69,40,2.57,PE,1684857619
219,nuuk,64.1835,-51.7216,-0.66,74,75,9.26,GL,1684857647
220,iskateley,67.6803,53.1512,19.8,40,6,2.86,RU,1684857648
221,den burg,53.0542,4.7972,13.87,66,75,6.17,NL,1684857650
222,hemsby,52.6971,1.6918,15.77,64,96,4.14,GB,1684857650
223,yanam,16.7333,82.2167,29.07,81,1,3.38,IN,1684857651
224,olinda,-8.0089,-34.8553,28.85,74,75,5.14,BR,1684857651
225,kalmunai,7.4167,81.8167,27.64,74,12,5.25,LK,1684857652
226,rushville,39.6092,-85.4464,26.53,43,54,1.79,US,1684857652
227,harunabad,29.6133,73.1389,31.32,40,53,7.94,PK,1684857652
228,santa elena de uairen,4.6167,-61.1333,26.01,69,89,4.31,VE,1684857653
229,luderitz,-26.6481,15.1594,12.73,88,9,4.51,NA,1684857653
230,cuorgne,45.3895,7.6499,28.92,40,11,2.77,IT,1684857653
231,gorodets,56.6514,43.475,17.43,68,100,4.14,RU,1684857654
232,klyuchi,52.2667,79.1667,14.64,33,9,3.95,RU,1684857654
233,mount gambier,-37.8333,140.7667,11.82,92,35,2.73,AU,1684857655
234,hoopstad,-27.8327,25.9083,18.91,17,100,3.09,ZA,1684857655
235,east london,-33.0153,27.9116,17.52,77,0,2.06,ZA,1684857656
236,sao francisco de assis,-29.5503,-55.1311,25.21,60,6,3.4,BR,1684857656
237,malango,-2.9627,119.9001,21.5,98,100,0.45,ID,1684857656
